ID,Neo Reference ID,Name,Limited Name,Designation,NASA JPL URL,Absolute Magnitude (H),Min Diameter (km),Max Diameter (km),Min Diameter (m),Max Diameter (m),Min Diameter (miles),Max Diameter (miles),Min Diameter (feet),Max Diameter (feet),Is Potentially Hazardous,Close Approach Date,Close Approach Date (Full),Epoch Date Close Approach,Relative Velocity (km/s),Relative Velocity (km/h),Relative Velocity (miles/h),Miss Distance (astronomical),Miss Distance (lunar),Miss Distance (km),Miss Distance (miles),Orbiting Body
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,1981-12-29,1981-Dec-29 08:05,378461100000,5.6652718459,20394.9786453535,12672.6465921642,0.3084893271,120.0023482419,46149346.251893277,28675874.0429781426,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,1988-11-06,1988-Nov-06 14:56,594831360000,4.305902138,15501.2476969045,9631.8724925571,0.4676402077,181.9120407953,69957978.998277599,43469872.4247609062,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,2005-03-08,2005-Mar-08 22:07,1110319620000,4.4122923953,15884.2526231559,9869.8568590937,0.3655672222,142.2056494358,54688077.782936714,33981595.7867820932,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,2012-01-31,2012-Jan-31 11:01,1328007660000,5.9451959021,21402.705247412,13298.8087133156,0.1786758136,69.5048914904,26729521.135077032,16608954.2658937616,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,2019-01-15,2019-Jan-15 06:01,1547532060000,6.0449176185,21761.7034264303,13521.8762207172,0.2085986871,81.1448892819,31205919.274956477,19390459.0899223026,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,2025-11-30,2025-Nov-30 02:18,1764469080000,3.7288508677,13423.8631236067,8341.0665058878,0.3976474744,154.6848675416,59487215.181119528,36963641.4867163664,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,2042-04-06,2042-Apr-06 19:02,2280423720000,3.7252247205,13410.8089939193,8332.9551773606,0.4461417254,173.5491311806,66741851.837964898,41471463.6747876724,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,2049-02-12,2049-Feb-12 05:38,2496721080000,6.0590645856,21812.6325080767,13553.5215714769,0.2725553389,106.0240268321,40773698.156568143,25335601.2070526534,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,2056-01-24,2056-Jan-24 11:03,2715937380000,5.8207578574,20954.7282866821,13020.4532512442,0.1497821765,58.2652666585,22407094.568364055,13923122.940991759,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,2062-12-31,2062-Dec-31 08:25,2934779100000,5.7322434825,20636.0765370681,12822.4554460466,0.3029535232,117.8489205248,45321201.779715584,28161288.9295956992,Earth
